# FSAE course centreline, digitized from skidpad_autocross_2026.png
# source_md5=ba199c283f630d51bc19b72da9b0f615
# grid_px=12.000 grid_ft=25.0 m_per_px=0.63500  (AUTO-CALIBRATED from the sheet)
# length_m=674.0  closed=False  R_min_m=4.50
# slalom_spacings_verified=False
s_m,x_m,y_m,kappa_1perm
612.0000,345.6905,40.8517,0.020721
613.0000,344.7057,41.0249,0.016619
614.0000,343.7238,41.2145,0.011590
615.0000,342.7442,41.4153,0.005465
616.0000,341.7657,41.6216,0.000506
617.0000,340.7871,41.8273,0.006396
618.0000,339.8072,42.0268,0.012272
619.0000,338.8249,42.2142,0.018190
620.0000,337.8394,42.3837,0.024186
621.0000,336.8501,42.5294,0.030264
622.0000,335.8568,42.6450,0.036389
623.0000,334.8601,42.7243,0.042469
624.0000,333.8608,42.7613,0.046108
625.0000,332.8609,42.7536,0.039169
626.0000,331.8621,42.7066,0.032270
627.0000,330.8653,42.6274,0.025532
628.0000,329.8708,42.5227,0.019000
629.0000,328.8785,42.3992,0.012666
630.0000,327.8878,42.2631,0.006492
631.0000,326.8980,42.1205,0.000615
632.0000,325.9083,41.9776,0.005632
633.0000,324.9177,41.8402,0.011720
634.0000,323.9257,41.7145,0.017696
635.0000,322.9317,41.6054,0.017490
636.0000,321.9359,41.5138,0.016954
637.0000,320.9387,41.4390,0.016397
638.0000,319.9404,41.3805,0.015823
639.0000,318.9413,41.3380,0.015233
640.0000,317.9417,41.3106,0.014632
641.0000,316.9418,41.2978,0.014020
642.0000,315.9418,41.2991,0.013401
643.0000,314.9419,41.3138,0.012775
644.0000,313.9423,41.3412,0.012146
645.0000,312.9431,41.3808,0.011513
646.0000,311.9444,41.4319,0.010878
647.0000,310.9463,41.4938,0.010242
648.0000,309.9490,41.5660,0.009607
649.0000,308.9523,41.6477,0.008971
650.0000,307.9564,41.7384,0.008337
651.0000,306.9613,41.8374,0.007703
652.0000,305.9670,41.9440,0.007070
653.0000,304.9735,42.0576,0.006438
654.0000,303.9808,42.1777,0.005807
655.0000,302.9887,42.3035,0.005176
656.0000,301.9973,42.4345,0.004544
657.0000,301.0065,42.5699,0.003912
