# FSAE course centreline, digitized from endurance_2026.png
# source_md5=877c11e1865936b6f3b34a25eeab6dd8
# grid_px=12.000 grid_ft=25.0 m_per_px=0.63500  (AUTO-CALIBRATED from the sheet)
# length_m=964.0  closed=True  R_min_m=4.50
# slalom_spacings_verified=False
s_m,x_m,y_m,kappa_1perm
380.0000,271.0601,43.7924,0.017551
381.0000,270.0713,43.6437,0.033797
382.0000,269.0799,43.5125,0.063644
383.0000,268.0864,43.3988,0.086052
384.0000,267.0911,43.3029,0.098402
385.0000,266.0941,43.2247,0.099251
386.0000,265.0960,43.1642,0.088498
387.0000,264.0969,43.1214,0.067402
388.0000,263.0972,43.0962,0.038428
389.0000,262.0973,43.0885,0.017261
390.0000,261.0973,43.0980,0.029084
391.0000,260.0977,43.1245,0.059731
392.0000,259.0987,43.1679,0.083396
393.0000,258.1005,43.2277,0.097313
394.0000,257.1034,43.3038,0.099856
395.0000,256.1076,43.3958,0.090728
396.0000,255.1134,43.5033,0.070995
397.0000,254.1210,43.6263,0.042964
398.0000,253.1307,43.7653,0.017440
399.0000,252.1431,43.9218,0.024300
400.0000,251.1586,44.0971,0.055671
401.0000,250.1781,44.2935,0.080535
402.0000,249.2027,44.5138,0.095986
403.0000,248.2341,44.7621,0.100218
404.0000,247.2744,45.0429,0.092736
405.0000,246.3218,45.3474,0.074415
406.0000,245.3689,45.6504,0.047396
407.0000,244.4055,45.9182,0.081528
408.0000,243.4238,46.1057,0.135218
409.0000,242.4264,46.1598,0.180922
410.0000,241.4355,46.0373,0.165936
411.0000,240.4760,45.7578,0.094423
412.0000,239.5418,45.4012,0.100333
413.0000,238.6141,45.0279,0.094516
414.0000,237.6738,44.6880,0.091944
415.0000,236.7064,44.4375,0.160089
416.0000,235.7125,44.3447,0.222222
417.0000,234.7211,44.4615,0.159009
418.0000,233.7599,44.7351,0.087288
419.0000,232.8265,45.0933,0.074229
420.0000,231.9043,45.4802,0.092630
421.0000,230.9740,45.8466,0.100204
422.0000,230.0171,46.1347,0.163146
423.0000,229.0272,46.2619,0.222222
424.0000,228.0332,46.1718,0.169560
425.0000,227.0674,45.9155,0.100432
426.0000,226.1321,45.5624,0.043972
427.0000,225.2133,45.1676,0.042715
428.0000,224.2946,44.7728,0.070800
429.0000,223.3619,44.4126,0.090610
430.0000,222.4061,44.1196,0.099829
431.0000,221.4297,43.9048,0.097380
432.0000,220.4418,43.7499,0.083549
433.0000,219.4484,43.6363,0.059952
434.0000,218.4524,43.5472,0.029348
435.0000,217.4555,43.4677,0.004767
436.0000,216.4591,43.3833,0.038173
437.0000,215.4643,43.2813,0.067198
438.0000,214.4718,43.1598,0.088368
439.0000,213.4810,43.0240,0.099210
440.0000,212.4915,42.8795,0.098456
441.0000,211.5025,42.7319,0.002817
442.0000,210.5130,42.5872,0.008934
443.0000,209.5223,42.4513,0.015345
444.0000,208.5296,42.3307,0.022104
445.0000,207.5345,42.2320,0.029243
446.0000,206.5370,42.1625,0.036748
447.0000,205.5376,42.1299,0.044522
448.0000,204.5378,42.1418,0.052362
449.0000,203.5399,42.2057,0.059928
450.0000,202.5478,42.3293,0.066738
451.0000,201.5661,42.5186,0.065041
452.0000,200.5986,42.7708,0.055107
453.0000,199.6463,43.0758,0.045611
454.0000,198.7090,43.4240,0.036763
455.0000,197.7851,43.8065,0.028595
456.0000,196.8725,44.2154,0.021033
457.0000,195.9688,44.6434,0.013940
458.0000,195.0711,45.0840,0.007157
459.0000,194.1766,45.5311,0.000732
460.0000,193.2823,45.9785,0.006172
461.0000,192.3852,46.4205,0.013081
462.0000,191.4825,46.8506,0.020401
463.0000,190.5711,47.2621,0.028320
464.0000,189.6484,47.6476,0.037007
465.0000,188.7122,47.9986,0.046579
466.0000,187.7606,48.3058,0.057044
467.0000,186.7931,48.5580,0.063187
468.0000,185.8117,48.7491,0.061961
469.0000,184.8204,48.8795,0.059938
470.0000,183.8231,48.9498,0.057245
471.0000,182.8233,48.9633,0.054059
472.0000,181.8242,48.9228,0.050547
473.0000,180.8285,48.8317,0.046867
474.0000,179.8381,48.6943,0.043150
475.0000,178.8545,48.5141,0.039493
476.0000,177.8789,48.2951,0.035966
477.0000,176.9116,48.0414,0.032609
478.0000,175.9532,47.7562,0.029443
479.0000,175.0036,47.4429,0.026475
480.0000,174.0626,47.1044,0.023700
481.0000,173.1299,46.7438,0.019580
482.0000,172.2044,46.3652,0.013122
483.0000,171.2839,45.9745,0.006914
484.0000,170.3661,45.5774,0.000792
